iter	Accuracy	Logloss
0	0.7266582911	0.6855063957
1	0.726642388	0.6782415659
2	0.727501153	0.6715951017
3	0.7282326935	0.6651050014
4	0.7280577599	0.6591145356
5	0.7280100507	0.6532438015
6	0.7280100507	0.6477587189
7	0.7282167904	0.6425508099
8	0.7281690813	0.6376800654
9	0.7289960401	0.6330836947
10	0.729234586	0.6287289509
11	0.7293777135	0.6246304209
12	0.7291232646	0.6207480893
13	0.7291550707	0.6171566755
14	0.7290914585	0.6136062995
15	0.7291232646	0.6102626935
16	0.7291868768	0.6070659064
17	0.7292186829	0.604038256
18	0.729536744	0.6012265446
19	0.7295526471	0.5984748095
20	0.7297275807	0.5959473914
21	0.7297911929	0.5934604704
22	0.7298548051	0.5911954292
23	0.7300615448	0.5889333556
24	0.730109254	0.5869014887
25	0.7300615448	0.5848319078
26	0.7301569632	0.5828743793
27	0.7302682845	0.5810526416
28	0.7301887693	0.5793670154
29	0.7303159937	0.577725515
30	0.7303637029	0.5761020118
31	0.7306499579	0.5745717096
32	0.7307930854	0.573235732
33	0.7309521159	0.5718725256
34	0.7310475342	0.5705987973
35	0.7308248915	0.5693820853
36	0.7309998251	0.5682774853
37	0.730983922	0.5672320689
38	0.7314292076	0.5661905
39	0.7313655953	0.5651899103
40	0.7313655953	0.5641539506
41	0.7311588556	0.5632638924
42	0.7316995595	0.5624388216
43	0.73185859	0.5615680247
44	0.7321766511	0.560787108
45	0.732717355	0.5599998066
46	0.7327491611	0.5592360697
47	0.7330990283	0.5584578215
48	0.7327650642	0.5577496877
49	0.7330831253	0.55700242
50	0.7330354161	0.5563777923
51	0.7332739619	0.5557560093
52	0.7329081917	0.5551768115
53	0.7331149314	0.5545699194
54	0.7328445794	0.554021586
55	0.7331944467	0.5534628508
56	0.7331944467	0.5529195357
57	0.7334647986	0.5524377993
58	0.7335602169	0.551985099
59	0.7337510536	0.5515689439
60	0.7339418902	0.5511115536
61	0.7339895994	0.5506882199
62	0.7338146658	0.5502955764
63	0.7338305689	0.5499406602
64	0.7338305689	0.5494967351
65	0.7337192475	0.5491515536
66	0.7338464719	0.5488522416
67	0.7340373086	0.5485409972
68	0.7341963391	0.5482498115
69	0.73414863	0.5478959138
70	0.7341327269	0.5476211095
71	0.734450788	0.5473036932
72	0.7344030788	0.5469983528
73	0.7345144002	0.5466915555
74	0.7344030788	0.5464510096
75	0.7345144002	0.5461911749
76	0.7346098185	0.5459373356
77	0.7347688491	0.5456670938
78	0.7348165583	0.5454253169
79	0.7348642674	0.5451647129
80	0.7347211399	0.5449622058
81	0.7348483644	0.5447646932
82	0.7347688491	0.5445608478
83	0.7348483644	0.5443761902
84	0.7349437827	0.5441610233
85	0.7349755888	0.5439757055
86	0.7348801705	0.5437878411
87	0.7346734308	0.5436026755
88	0.7348324613	0.5433944963
89	0.7349278796	0.5432239543
90	0.7348801705	0.5430856911
91	0.7349278796	0.5429057609
92	0.7352936499	0.5427419816
93	0.7351505224	0.5425618919
94	0.7351187163	0.5424145019
95	0.7350551041	0.5422976566
96	0.735023298	0.5421315589
97	0.7352618438	0.5419729077
98	0.7352618438	0.5418162572
99	0.7352777469	0.5416694181
