iter	Passed	Remaining
0	18	1823
1	35	1735
2	54	1749
3	69	1677
4	88	1678
5	105	1650
6	121	1620
7	140	1620
8	158	1606
9	176	1587
10	192	1557
11	210	1545
12	228	1526
13	245	1509
14	263	1493
15	281	1475
16	299	1464
17	315	1437
18	331	1412
19	350	1400
20	364	1372
21	378	1341
22	392	1314
23	407	1289
24	430	1292
25	450	1283
26	469	1268
27	487	1253
28	504	1235
29	521	1217
30	538	1198
31	557	1185
32	565	1148
33	572	1111
34	578	1074
35	588	1046
36	603	1027
37	609	995
38	618	968
39	624	936
40	634	912
41	642	886
42	649	860
43	656	835
44	664	811
45	676	794
46	682	769
47	699	757
48	711	740
49	728	728
50	752	722
51	769	710
52	784	695
53	803	684
54	821	672
55	839	659
56	862	650
57	870	630
58	879	611
59	898	599
60	914	584
61	934	572
62	951	558
63	958	539
64	975	525
65	990	510
66	1004	494
67	1019	479
68	1027	461
69	1034	443
70	1043	426
71	1057	411
72	1065	394
73	1073	377
74	1082	360
75	1097	346
76	1104	329
77	1111	313
78	1119	297
79	1128	282
80	1137	266
81	1143	251
82	1153	236
83	1162	221
84	1185	209
85	1203	195
86	1221	182
87	1231	167
88	1238	153
89	1250	138
90	1269	125
91	1289	112
92	1307	98
93	1326	84
94	1348	70
95	1370	57
96	1400	43
97	1426	29
98	1444	14
99	1452	0
